model,MAE,RMSE,R2,ACCURACY
ENS_AVG,1.7013974885977756,6.092928100021583,0.9029054287143289,0.9665223730768044
ENS_WEIGHTED,1.6405277352508985,6.011039465230039,0.9054977822222564,0.9669723106306042
GRU,1.6355579736359873,6.752124237539779,0.88075952669308,0.962900416277254
HYBRID,3.355165126091172,8.216287996908463,0.8234392563050079,0.954855560456547
LSTM,2.585619966087788,6.627016674551673,0.8851373137635918,0.9635878204694963
MULTI,2.659507891651248,5.890965789712362,0.9092355368210944,0.9676320561004815
