,MAE,RMSE,R2,AccAbs(±1)
Multitask,1.1065255896567703,5.760291827800717,0.9563728422243866,94.211242443
LSTM,1.1602499090781155,5.835220323491593,0.9552304766612976,94.1983780411728
GRU,1.1602499090781155,5.835220323491593,0.9552304766612976,94.1983780411728
